pk	sk	product_id	product_name	product_category	price	upc	shipping_amount	product_description	manufacturer	model
1144068	Game#Video Games#Pre-Owned Games#MotoGP 14 - PRE-OWNED - Xbox 360	1144068	MotoGP 14 - PRE-OWNED - Xbox 360	Game#Video Games#Pre-Owned Games	19.99	799000000000	3.99	Rev your engine as you blaze past the competition in the high-speed race to victory	Namco Bandai Games	PREOWNED
1144095	Game#Video Games#Pre-Owned Games#Harvest Moon 3D: The Lost Valley - PRE-OWNED - Nintendo 3DS	1144095	Harvest Moon 3D: The Lost Valley - PRE-OWNED - Nintendo 3DS	Game#Video Games#Pre-Owned Games	19.99	799000000000	3.99	Return to the Harvest Moon franchise with this new chapter	Nintendo	PREOWNED
1118355	Game#Video Games#Pre-Owned Games#Duck Dynasty - PRE-OWNED - PlayStation 3	1118355	Duck Dynasty - PRE-OWNED - PlayStation 3	Game#Video Games#Pre-Owned Games	14.99	799000000000	3.99	Join the wild Robertson clan as you hunt, fish, race, pull pranks and more	Activision	PREOWNED
1118364	Game#Video Games#Pre-Owned Games#Duck Dynasty - PRE-OWNED - Xbox 360	1118364	Duck Dynasty - PRE-OWNED - Xbox 360	Game#Video Games#Pre-Owned Games	14.99	799000000000	3.99	Join the wild Robertson clan as you hunt, fish, race, pull pranks and more	Activision	PREOWNED
1145012	Game#Video Games#Pre-Owned Games#Disney Planes: Fire & Rescue - PRE-OWNED - Nintendo 3DS	1145012	Disney Planes: Fire & Rescue - PRE-OWNED - Nintendo 3DS	Game#Video Games#Pre-Owned Games	9.99	799000000000	3.99	Put out raging wildfires in Piston Peak Park with the help of friends	Little Orbit	PREOWNED
1146002	Game#Video Games#Pre-Owned Games#Disney Planes: Fire & Rescue - PRE-OWNED - Nintendo DS	1146002	Disney Planes: Fire & Rescue - PRE-OWNED - Nintendo DS	Game#Video Games#Pre-Owned Games	19.99	799000000000	3.99	Put out raging wildfires in Piston Peak Park with the help of friends	Little Orbit	PREOWNED
1158131	Game#Video Games#Pre-Owned Games#Minecraft: PlayStation 4 Edition - PRE-OWNED - PlayStation 4	1158131	Minecraft: PlayStation 4 Edition - PRE-OWNED - PlayStation 4	Game#Video Games#Pre-Owned Games	14.99	799000000000	3.99	Create, explore and conquer amazing worlds &#8212; the only limit is your imagination	Sony	PREOWNED
1185001	Game#Video Games#Pre-Owned Games#Assassin's Creed: Unity - PRE-OWNED - PlayStation 4	1185001	Assassin's Creed: Unity - PRE-OWNED - PlayStation 4	Game#Video Games#Pre-Owned Games	14.99	799000000000	3.99	Embark on missions in 18th-century Paris as Master Assassin Arno	Ubisoft	PREOWNED
1186028	Game#Video Games#Pre-Owned Games#Assassin's Creed: Unity - PRE-OWNED - Xbox One	1186028	Assassin's Creed: Unity - PRE-OWNED - Xbox One	Game#Video Games#Pre-Owned Games	14.99	799000000000	3.99	Embark on missions in 18th-century Paris as Master Assassin Arno	Ubisoft	PREOWNED
1188008	Game#Video Games#Pre-Owned Games#Halo: The Master Chief Collection - PRE-OWNED - Xbox One	1188008	Halo: The Master Chief Collection - PRE-OWNED - Xbox One	Game#Video Games#Pre-Owned Games	29.99	799000000000	3.99	Re-experience the story of the iconic hero	Microsoft	PREOWNED
1071015	HardGood#Appliances#Refrigerators#GE - Profile Series 25.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - High-Gloss White	1071015	GE - Profile Series 25.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - High-Gloss White	HardGood#Appliances#Refrigerators	1799.99	84691260950	0	Up-front electronic temperature controls; Turbo Cool setting; adjustable, slide-out spill-proof shelves; adjustable Clear Look door bins; dairy compartment	GE	PSE25KGHWW
1071051	HardGood#Appliances#Refrigerators#GE - 22.5 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Black	1071051	GE - 22.5 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Black	HardGood#Appliances#Refrigerators	1449.99	84691807872	0	Up-front electronic touch temperature controls; 4 electronic sensors; 4 fresh-food shelves; 4 fresh-food door bins; dairy compartment; in-the-door can rack; 4 freezer shelves	GE	GSS23HGHBB
1071079	HardGood#Appliances#Refrigerators#GE - 21.8 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel	1071079	GE - 21.8 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel	HardGood#Appliances#Refrigerators	1499.99	84691260820	0	External electronic temperature controls; adjustable slide-out, spill-proof glass shelves; adjustable-humidity and -temperature drawers; Sweet Spot freezer shelf	GE	GSE22ESHSS
1071088	HardGood#Appliances#Refrigerators#GE - Profile Series 28.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel	1071088	GE - Profile Series 28.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel	HardGood#Appliances#Refrigerators	2199.99	84691807919	0	Up-front electronic temperature controls; TurboCool setting; short air tower; adjustable, slide-out spill-proof glass shelves; Clear Look door bins	GE	PSS28KSHSS
1071097	HardGood#Appliances#Refrigerators#GE - 20.0 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel	1071097	GE - 20.0 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel	HardGood#Appliances#Refrigerators	1699.99	84691260783	0	Electronic external temperature controls; 3 electronic sensors; 3 fresh-food shelves; 4 fresh-food door bins; dairy compartment; 3 freezer shelves; 5 freezer door shelves	GE	GSS20ESHSS
1071111	HardGood#Appliances#Refrigerators#GE - 20.0 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Black	1071111	GE - 20.0 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Black	HardGood#Appliances#Refrigerators	1499.99	84691260752	0	Electronic external temperature controls; 3 electronic sensors; 3 fresh-food shelves; 4 fresh-food door bins; dairy compartment; 3 freezer shelves; 5 freezer door shelves	GE	GSS20ETHBB
1071139	HardGood#Appliances#Refrigerators#GE - 22.5 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel	1071139	GE - 22.5 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Stainless Steel	HardGood#Appliances#Refrigerators	1649.99	84691807889	0	Up-front electronic touch temperature controls; 4 electronic sensors; 4 fresh-food shelves; 4 fresh-food door bins; dairy compartment; in-the-door can rack; 4 freezer shelves	GE	GSS23HSHSS
1071148	HardGood#Appliances#Refrigerators#GE - 20.0 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - White	1071148	GE - 20.0 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - White	HardGood#Appliances#Refrigerators	1499.99	84691260776	0	Electronic external temperature controls; 3 electronic sensors; 3 fresh-food shelves; 4 fresh-food door bins; dairy compartment; 3 freezer shelves; 5 freezer door shelves	GE	GSS20ETHWW
1071175	HardGood#Appliances#Refrigerators#GE - Profile Series 25.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - High-Gloss Black	1071175	GE - Profile Series 25.4 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - High-Gloss Black	HardGood#Appliances#Refrigerators	1799.99	84691260943	0	Up-front electronic temperature controls; Turbo Cool setting; adjustable, slide-out spill-proof shelves; adjustable Clear Look door bins; dairy compartment	GE	PSE25KGHBB
1071184	HardGood#Appliances#Refrigerators#GE - 20.0 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Bisque	1071184	GE - 20.0 Cu. Ft. Side-by-Side Refrigerator with Thru-the-Door Ice and Water - Bisque	HardGood#Appliances#Refrigerators	1499.99	84691260769	0	Electronic external temperature controls; 3 electronic sensors; 3 fresh-food shelves; 4 fresh-food door bins; dairy compartment; 3 freezer shelves; 5 freezer door shelves	GE	GSS20ETHCC
1072005	HardGood#Appliances#Refrigerators#LG - 30.6 Cu. Ft. French Door Smart Refrigerator - Stainless Steel	1072005	LG - 30.6 Cu. Ft. French Door Smart Refrigerator - Stainless Steel	HardGood#Appliances#Refrigerators	2699.99	48231786249	0	LCD membrane temperature controls; Smart Cooling Plus with Fresh Air filter; Glide N' Access sliding shelf; spill-safe shelves; pull-out freezer drawer; SmartPull freezer handle	LG	LFCS31626S
1189034	HardGood#Appliances#Refrigerators#GE - 17.5 Cu. Ft. Frost-Free Top-Freezer Refrigerator - Bisque	1189034	GE - 17.5 Cu. Ft. Frost-Free Top-Freezer Refrigerator - Bisque	HardGood#Appliances#Refrigerators	649.99	84691259138	0	Up-front knob/dial temperature control; air tower temperature management; 2 spill-proof glass shelves; snack drawer; adjustable-humidity drawers; can storage door shelf; spill-proof freezer floor	GE	GTE18GTHCC
1149147	HardGood#Appliances#Refrigerators#Wine Enthusiast - 18-Bottle Wine Refrigerator - Black	1149147	Wine Enthusiast - 18-Bottle Wine Refrigerator - Black	HardGood#Appliances#Refrigerators	269.99	31333015782	0	Digital touch-screen controls with temperature display; holds up to 18 bottles; 4 pull-out chrome shelves; 2 separate zones; reflective, smoked-glass thermopane door; interior LED lighting	Wine Enthusiast	0272 03 18
1149217	HardGood#Appliances#Refrigerators#Wine Enthusiast - 12-Bottle Wine Cellar - Black	1149217	Wine Enthusiast - 12-Bottle Wine Cellar - Black	HardGood#Appliances#Refrigerators	229.99	31333017588	0	Digital electric controls; stores up to 12 bottles of wine; 4 pull-out chrome wire shelves; reflective smoked-glass Thermopane door with stainless-steel trim; interior LED lighting; freestanding design	Wine Enthusiast	272 03 12 02
1162087	HardGood#Appliances#Refrigerators#Wine Enthusiast - 12-Bottle Wine Refrigerator - Black	1162087	Wine Enthusiast - 12-Bottle Wine Refrigerator - Black	HardGood#Appliances#Refrigerators	169.99	31333015768	0	Digital touch-screen controls; holds up to 12 bottles of wine; 3 pull-out chrome shelves; reflective, smoked-glass door; interior LED lighting	Wine Enthusiast	0272 03 12
1099062	HardGood#Appliances#Refrigerators#NewAir - 46-Bottle Wine Cooler - Stainless Steel/Black	1099062	NewAir - 46-Bottle Wine Cooler - Stainless Steel/Black	HardGood#Appliances#Refrigerators	1129.99	854000000000	89.99	Digital temperature control; dual zones; removable wood shelves; front glass door; interior lighting; built-in or freestanding design	NewAir	AWR-460DB
1099122	HardGood#Appliances#Refrigerators#NewAir - 52-Bottle Wine Cooler - Stainless Steel/Black	1099122	NewAir - 52-Bottle Wine Cooler - Stainless Steel/Black	HardGood#Appliances#Refrigerators	1031.99	854000000000	109.99	Digital thermostat and electronic controls; 5 removable hardwood shelves; reversible door; interior lighting; built-in or freestanding design	NewAir	AWR-520SB
1073004	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	1073004	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	HardGood#Appliances#Refrigerators	749.99	883000000000	0	Electronic temperature controls; wall-to-wall frameless glass shelves; Flexi-Slide bin; humidity-controlled crispers; gallon-size door storage	Whirlpool	WRT318FZDM
1073013	HardGood#Appliances#Refrigerators#Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - White	1073013	Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	549.99	883000000000	0	Analog temperature controls; 3 glass shelves; dairy center; deli meat drawer; 1 fixed freezer shelf	Whirlpool	WRT314TFDW
1073031	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Biscuit	1073031	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Biscuit	HardGood#Appliances#Refrigerators	649.99	883000000000	0	Electronic temperature controls; 2 adjustable shelves; Flexi-Slide bin; clear, humidity-controlled crispers; gallon door storage; compatible with optional EZ Connect icemaker kit	Whirlpool	WRT108FZDT
1073059	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	1073059	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	HardGood#Appliances#Refrigerators	799.99	883000000000	0	ENERGY STAR Certified Up-front electronic temperature control; 3 glass shelves; Flexi-Slide bin; clear humidity-controlled crispers; deli meat drawer; dairy center; gallon-size door storage; fixed freezer shelf	Whirlpool	WRT138FZDM
1073068	HardGood#Appliances#Refrigerators#Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - Biscuit	1073068	Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - Biscuit	HardGood#Appliances#Refrigerators	599.99	883000000000	0	Interior temperature control dials; 3 glass and wire shelves; deli meat drawer; dairy center; gallon-size door storage; freezer temperature controls; wire freezer shelf	Whirlpool	WRT106TFDT
1073077	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Black	1073077	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	699.99	883000000000	0	ENERGY STAR Certified Electronic controls; glass and wire shelves; dairy center; deli meat drawer; humidity-controlled crispers; Flexi-Slide bin; gallon door storage; EZ Connect icemaker kit compatible	Whirlpool	WRT138FZDB
1073086	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	1073086	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	HardGood#Appliances#Refrigerators	749.99	883000000000	0	Up-front electronic temperature controls; 3 glass shelves; Flexi-Slide bin; clear humidity-controlled crispers; gallon-size door storage; dairy center; deli meat drawer; wire freezer shelf	Whirlpool	WRT108FZDM
1073095	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - White	1073095	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	649.99	883000000000	0	Up-front electronic temperature controls; wall-to-wall frameless glass shelves; humidity-controlled crispers; Flexi-Slide bin; gallon-size door storage	Whirlpool	WRT318FZDW
1073119	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Black	1073119	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	649.99	883000000000	0	Up-front electronic temperature controls; wall-to-wall frameless glass shelves; humidity-controlled crispers; Flexi-Slide bin; gallon-size door storage	Whirlpool	WRT318FZDB
1073128	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - White	1073128	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	649.99	883000000000	0	Up-front electronic temperature controls; 3 glass shelves; Flexi-Slide bin; clear humidity-controlled crispers; gallon-size door storage; dairy center; deli meat drawer; wire freezer shelf	Whirlpool	WRT108FZDW
1073137	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - White	1073137	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	699.99	883000000000	0	ENERGY STAR Certified Up-front electronic temperature controls; glass and wire shelves; humidity-controlled crispers; Flexi-Slide bin; gallon-size door storage	Whirlpool	WRT138FZDW
1073146	HardGood#Appliances#Refrigerators#Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Black	1073146	Whirlpool - 18.2 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	649.99	883000000000	0	Up-front electronic temperature controls; 3 glass shelves; Flexi-Slide bin; clear humidity-controlled crispers; gallon-size door storage; dairy center; deli meat drawer; wire freezer shelf	Whirlpool	WRT108FZDB
1073155	HardGood#Appliances#Refrigerators#Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Black	1073155	Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	549.99	883000000000	0	Analog temperature controls; glass shelves; dairy center, deli meat drawer; fixed wire freezer shelf	Whirlpool	WRT314TFDB
1118003	HardGood#Appliances#Refrigerators#Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - White	1118003	Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	899.99	883000000000	0	Analog temperature controls; wall-to-wall frameless glass shelves; humidity-controlled crispers; Flexi-Slide bin; gallon-size door storage	Whirlpool	WRT511SZDW
1118012	HardGood#Appliances#Refrigerators#Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Black	1118012	Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	899.99	883000000000	0	Interior temperature control dials; wall-to-wall, frameless glass shelves; Flexi-Slide bin; humidity-controlled crispers; deli meat drawer; dairy bin; gallon-size door storage	Whirlpool	WRT511SZDB
1118021	HardGood#Appliances#Refrigerators#Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - Black	1118021	Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	599.99	883000000000	0	Interior temperature control dials; 3 glass and wire shelves; deli meat drawer; dairy center; gallon-size door storage; freezer temperature controls; wire freezer shelf	Whirlpool	WRT106TFDB
1118049	HardGood#Appliances#Refrigerators#Whirlpool - 19.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	1118049	Whirlpool - 19.2 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	HardGood#Appliances#Refrigerators	899.99	883000000000	0	ENERGY STAR Certified Up-front electronic temperature controls; Flexi-Slide bin; humidity-controlled crispers; 3 wall-to-wall, frameless glass shelves; gallon-size door storage; glass freezer shelf	Whirlpool	WRT549SZDM
1118058	HardGood#Appliances#Refrigerators#Whirlpool - SideKicks 17.7 Cu. Ft. Refrigerator - White	1118058	Whirlpool - SideKicks 17.7 Cu. Ft. Refrigerator - White	HardGood#Appliances#Refrigerators	1349.99	883000000000	0	Up-front electronic temperature controls; temperature alarm; glass shelves; humidity-controlled crisper; in-door pizza pocket; gallon-size door storage	Whirlpool	WSR57R18DH
1118067	HardGood#Appliances#Refrigerators#Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Black	1118067	Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	949.99	883000000000	0	ENERGY STAR Certified Electronic temperature controls; wall-to-wall frameless glass shelves; humidity-controlled crispers; Flexi-Slide bin; gallon-size door storage	Whirlpool	WRT541SZDB
1118076	HardGood#Appliances#Refrigerators#Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	1118076	Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	HardGood#Appliances#Refrigerators	999.99	883000000000	0	Interior temperature control dials; wall-to-wall, frameless glass shelves; Flexi-Slide bin; humidity-controlled crispers; deli meat drawer; dairy bin; gallon-size door storage	Whirlpool	WRT511SZDM
1118094	HardGood#Appliances#Refrigerators#Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - Black	1118094	Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	649.99	883000000000	0	Interior temperature control dials; 3 wall-to-wall, frameless glass shelves; Flexi-Slide bin; deli meat drawer; dairy center; gallon-size door storage; glass freezer shelf	Whirlpool	WRT316SFDB
1118109	HardGood#Appliances#Refrigerators#Whirlpool - SideKicks 17.7 Cu. Ft. Refrigerator - Monochromatic Stainless Steel	1118109	Whirlpool - SideKicks 17.7 Cu. Ft. Refrigerator - Monochromatic Stainless Steel	HardGood#Appliances#Refrigerators	1549.99	883000000000	0	Up-front electronic temperature controls; temperature alarm; glass shelves; humidity-controlled crisper; in-door pizza pocket; gallon-size door storage	Whirlpool	WSR57R18DM
1118118	HardGood#Appliances#Refrigerators#Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - White	1118118	Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	949.99	883000000000	0	ENERGY STAR Certified Electronic temperature controls; wall-to-wall frameless glass shelves; humidity-controlled crispers; Flexi-Slide bin; gallon-size door storage	Whirlpool	WRT541SZDW
1118136	HardGood#Appliances#Refrigerators#Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	1118136	Whirlpool - 21.3 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	HardGood#Appliances#Refrigerators	1049.99	883000000000	0	ENERGY STAR Certified Electronic temperature controls; wall-to-wall frameless glass shelves; humidity-controlled crispers; Flexi-Slide bin; gallon-size door storage	Whirlpool	WRT541SZDM
1118145	HardGood#Appliances#Refrigerators#Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - White	1118145	Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	599.99	883000000000	0	ENERGY STAR Certified Interior temperature control dials; 3 glass and wire shelves; deli meat drawer; dairy compartment; wire freezer shelf	Whirlpool	WRT134TFDW
1118154	HardGood#Appliances#Refrigerators#Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - White	1118154	Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	599.99	883000000000	0	Interior temperature control dials; 3 glass and wire shelves; deli meat drawer; dairy center; gallon-size door storage; freezer temperature controls; wire freezer shelf	Whirlpool	WRT106TFDW
1118163	HardGood#Appliances#Refrigerators#Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Biscuit	1118163	Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Biscuit	HardGood#Appliances#Refrigerators	549.99	883000000000	0	Analog temperature controls; glass and wire shelves; dairy center; icemaker kit compatible	Whirlpool	WRT104TFDT
1118172	HardGood#Appliances#Refrigerators#Whirlpool - 19.2 Cu. Ft. Top-Freezer Refrigerator - White	1118172	Whirlpool - 19.2 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	799.99	883000000000	0	ENERGY STAR Certified Up-front electronic temperature controls; Flexi-Slide bin; humidity-controlled crispers; 3 wall-to-wall, frameless glass shelves; gallon-size door storage; glass freezer shelf	Whirlpool	WRT549SZDW
1118181	HardGood#Appliances#Refrigerators#Whirlpool - 19.2 Cu. Ft. Top-Freezer Refrigerator - Black	1118181	Whirlpool - 19.2 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	799.99	883000000000	0	ENERGY STAR Certified Up-front electronic temperature controls; Flexi-Slide bin; humidity-controlled crispers; 3 wall-to-wall, frameless glass shelves; gallon-size door storage; glass freezer shelf	Whirlpool	WRT549SZDB
1118205	HardGood#Appliances#Refrigerators#Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	1118205	Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - Monochromatic Stainless Steel	HardGood#Appliances#Refrigerators	749.99	883000000000	0	Interior temperature control dials; 3 wall-to-wall, frameless glass shelves; Flexi-Slide bin; deli meat drawer; dairy center; gallon-size door storage; glass freezer shelf	Whirlpool	WRT316SFDM
1118214	HardGood#Appliances#Refrigerators#Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Black	1118214	Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	599.99	883000000000	0	ENERGY STAR Certified Interior temperature control dials; 3 glass and wire shelves; deli meat drawer; dairy compartment; wire freezer shelf	Whirlpool	WRT134TFDB
1118223	HardGood#Appliances#Refrigerators#Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - White	1118223	Whirlpool - 16.0 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	649.99	883000000000	0	Interior temperature control dials; 3 wall-to-wall, frameless glass shelves; Flexi-Slide bin; deli meat drawer; dairy center; gallon-size door storage; glass freezer shelf	Whirlpool	WRT316SFDW
1118241	HardGood#Appliances#Refrigerators#Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Black	1118241	Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - Black	HardGood#Appliances#Refrigerators	549.99	883000000000	0	Analog temperature controls; glass and wire shelves; dairy center; icemaker kit compatible	Whirlpool	WRT104TFDB
1118278	HardGood#Appliances#Refrigerators#Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - White	1118278	Whirlpool - 14.3 Cu. Ft. Top-Freezer Refrigerator - White	HardGood#Appliances#Refrigerators	549.99	883000000000	0	Analog temperature controls; glass and wire shelves; dairy center; icemaker kit compatible	Whirlpool	WRT104TFDW
1088738	HardGood#Appliances#Washers & Dryers#Electrolux - 8.0 Cu. Ft. 65-Cycle Electric Dryer with Steam - Island White	1088738	Electrolux - 8.0 Cu. Ft. 65-Cycle Electric Dryer with Steam - Island White	HardGood#Appliances#Washers & Dryers	1449.99	12505382840	0	Front-panel digital controls; Perfect Steam technology; stainless steel drum	Electrolux	Ewmed70jiw
1088847	HardGood#Appliances#Washers & Dryers#Electrolux - 8.0 Cu. Ft. 65-Cycle Gas Dryer with Steam - Island White	1088847	Electrolux - 8.0 Cu. Ft. 65-Cycle Gas Dryer with Steam - Island White	HardGood#Appliances#Washers & Dryers	1549.99	12505382895	0	Digital controls; steam technology; stainless steel drum; noise and vibration reduction	Electrolux	Ewmgd70jiw
1114115	HardGood#Appliances#Washers & Dryers#Electrolux - 4.4 Cu. Ft. 11-Cycle High-Efficiency Front-Loading Washer with Steam - Island White	1114115	Electrolux - 4.4 Cu. Ft. 11-Cycle High-Efficiency Front-Loading Washer with Steam - Island White	HardGood#Appliances#Washers & Dryers	1449.99	12505382796	0	Front-panel digital controls; Perfect Steam technology; Expert Care wash system; automatic temperature control; noise and vibration reduction	Electrolux	EWFLS70JIW
1189016	HardGood#Appliances#Washers & Dryers#GE - 4.3 Cu. Ft. 10-Cycle High-Efficiency Steam Front-Loading Washer - Diamond Gray	1189016	GE - 4.3 Cu. Ft. 10-Cycle High-Efficiency Steam Front-Loading Washer - Diamond Gray	HardGood#Appliances#Washers & Dryers	999.99	84691263920	0	Electronic rotary controls with LEDs; 10 cycles; Steam Assist; My Cycle; stain removal guide; time-saver option; 5 temperature settings; Quiet-By-Design package; vibration control	GE	GFWS1705HDG
1189025	HardGood#Appliances#Washers & Dryers#GE - 7.5 Cu. Ft. 10-Cycle Steam Electric Dryer - Diamond Gray	1189025	GE - 7.5 Cu. Ft. 10-Cycle Steam Electric Dryer - Diamond Gray	HardGood#Appliances#Washers & Dryers	999.99	84691263951	0	Rotary electronic controls with LEDs; 10 cycles; automatic temperature control; stainless-steel drum; quiet-by-design sound package	GE	GFDS175EHDG
1097389	HardGood#Computers & Tablets#Monitors#BenQ - 27" LED HD Monitor - Black	1097389	BenQ - 27" LED HD Monitor - Black	HardGood#Computers & Tablets#Monitors	369.99	840000000000	0	BENQ 27" LED HD Monitor: 4 ms GTG response time; 20,000,000:1 DCR (Dynamic Contrast Ratio); 350 nits brightness; 2560 x 1440 maximum resolution; 178-degree horizontal and vertical viewing angles; VGA, DVI-DL, DisplayPort and HDMI inputs; 2 speakers	BenQ	GW2765HT
